iter	Logloss
0	0.6814316506
1	0.6699311666
2	0.6589915187
3	0.6479048299
4	0.6387029171
5	0.6284055709
6	0.6201940528
7	0.612665031
8	0.6041973168
9	0.5980322819
10	0.5912049227
11	0.5853340268
12	0.5798645802
13	0.5748095711
14	0.5685732992
15	0.5630072296
16	0.5580522318
17	0.552828726
18	0.5481158195
19	0.5455755896
20	0.5411859918
21	0.5371841728
22	0.5338302415
23	0.53075912
24	0.5284946298
25	0.5250144767
26	0.5230733798
27	0.5200668629
28	0.517095323
29	0.5137763969
30	0.5115693029
31	0.5088125066
32	0.5073916468
33	0.5046004828
34	0.5024205093
35	0.5005640953
36	0.4984066079
37	0.496455575
38	0.4945765002
39	0.4928299199
40	0.4910847373
41	0.4897571817
42	0.4881147985
43	0.4867120469
44	0.4850389699
45	0.4832994741
46	0.4818267397
47	0.4801525707
48	0.4787067517
49	0.4772615841
50	0.4763613801
51	0.4750068596
52	0.4737399782
53	0.4725231551
54	0.4722829994
55	0.4708778497
56	0.4697765858
57	0.468792464
58	0.4678535779
59	0.4667062739
60	0.4655609319
61	0.4647475866
62	0.4637552322
63	0.4623816294
64	0.4613316006
65	0.4605722062
66	0.4595826703
67	0.4586870516
68	0.4578965495
69	0.4570282143
70	0.4562558821
71	0.4554051995
72	0.4545957365
73	0.4540591598
74	0.4532903225
75	0.4525235795
76	0.4518305116
77	0.4512881801
78	0.4506553861
79	0.4498859969
80	0.4493316872
81	0.4486870566
82	0.4480176629
83	0.4476848817
84	0.4469568243
85	0.4465323226
86	0.4459422806
87	0.4456703874
88	0.4454907799
89	0.4450041053
90	0.4445407838
91	0.4441434973
92	0.4437335692
93	0.443336006
94	0.4428374296
95	0.442428433
96	0.4417287055
97	0.4413298634
98	0.4408624868
99	0.4404298105
100	0.4400096301
101	0.4396666119
102	0.4391924256
103	0.438904542
104	0.4384800701
105	0.4378455384
106	0.4375304707
107	0.4373403194
108	0.4368656308
109	0.4365121805
110	0.4360204525
111	0.4356570841
112	0.4351335292
113	0.4348792365
114	0.4344169411
115	0.43405254
116	0.4337402679
117	0.4331271906
118	0.4328359655
119	0.4324817033
120	0.4320797638
121	0.4317551353
122	0.4313539313
123	0.4309500776
124	0.4305102421
125	0.4301616244
126	0.429830691
127	0.4295866915
128	0.4293408195
129	0.4291812434
130	0.4288341136
131	0.4285411242
132	0.4282121278
133	0.4280252239
134	0.4278029689
135	0.4275266531
136	0.4271793819
137	0.4269177448
138	0.4265430079
139	0.426401121
140	0.4261174863
141	0.4258148129
142	0.4256433146
143	0.4253643913
144	0.425124465
145	0.4248856105
146	0.4247221369
147	0.4244768451
148	0.4242524613
149	0.4238196366
150	0.4235697028
151	0.4231565704
152	0.4227331424
153	0.4222189062
154	0.4218310596
155	0.4216521477
156	0.421457651
157	0.4212891165
158	0.4210246819
159	0.420824046
160	0.4203946853
161	0.4201773679
162	0.4198807091
163	0.4196065328
164	0.4193758238
165	0.4191368496
166	0.4187579622
167	0.4185420121
168	0.4181976806
169	0.4180626853
170	0.417894722
171	0.4176378897
172	0.4175337467
173	0.4175035824
174	0.4173610635
175	0.4171290763
176	0.4167270103
177	0.4164693156
178	0.4163152704
179	0.4160945555
180	0.4159344889
181	0.4157631613
182	0.4157212767
183	0.4155201765
184	0.4152961431
185	0.4151290258
186	0.4149522888
187	0.4147652935
188	0.4145991053
189	0.4145946616
190	0.4143264056
191	0.4141263443
192	0.4139359768
193	0.4137836404
194	0.4136710604
195	0.4134792006
196	0.4133385161
197	0.4132873677
198	0.4131109705
199	0.4129623322
200	0.4128030791
201	0.4125474585
202	0.4124306715
203	0.4122306276
204	0.412127416
205	0.4120140542
206	0.4118171115
207	0.4116555243
208	0.4114127609
209	0.4111893998
210	0.4110516713
211	0.4109110909
212	0.4107290974
213	0.4106356788
214	0.4104868481
215	0.4103768957
216	0.4102961562
217	0.4101905537
218	0.4100944826
219	0.4097503345
220	0.4095426152
221	0.4094832168
222	0.4093694409
223	0.4092239733
224	0.4090859697
225	0.408697899
226	0.4086067116
227	0.4084175699
228	0.4081306015
229	0.4079990928
230	0.40781896
231	0.4076922908
232	0.4073512005
233	0.4072116509
234	0.4070959833
235	0.4069863152
236	0.4068018903
237	0.4065866795
238	0.4063289387
239	0.4061732282
240	0.4060254822
241	0.4059442231
242	0.4057863093
243	0.4056167183
244	0.4054885122
245	0.405297487
246	0.4050845145
247	0.4049618413
248	0.4048214277
249	0.4047617527
250	0.4046705321
251	0.4045636743
252	0.4043866204
253	0.4041946472
254	0.4040474077
255	0.4037858753
256	0.4036141474
257	0.4035198345
258	0.4034033103
259	0.403148954
260	0.4030312018
261	0.4029306595
262	0.4028089178
263	0.402688811
264	0.4026312385
265	0.4025164018
266	0.4024255164
267	0.4023134988
268	0.4021479149
269	0.4019047294
270	0.4018209407
271	0.4016542633
272	0.4014845247
273	0.4013907808
274	0.4012390074
275	0.4010232119
276	0.4008990704
277	0.4007554565
278	0.4006845664
279	0.400575751
280	0.4004483219
281	0.400369202
282	0.4001219222
283	0.3999576492
284	0.3998585882
285	0.3997792106
286	0.399645105
287	0.3994832053
288	0.3994215833
289	0.3992082389
290	0.3991146311
291	0.3990340966
292	0.3988633799
293	0.3988008322
294	0.3985885667
295	0.3985417384
296	0.398461512
297	0.3983946921
298	0.3983393251
299	0.3982694507
300	0.3981196196
301	0.3979181701
302	0.3976919229
303	0.3976121725
304	0.3974996102
305	0.397368948
306	0.3973051398
307	0.3972328718
308	0.3971552147
309	0.3970582097
310	0.396930722
311	0.3968526446
312	0.3968000945
313	0.3967278094
314	0.3966226068
315	0.396537961
316	0.3964519884
317	0.3962855855
318	0.3961436152
319	0.3960562697
320	0.3959730614
321	0.3958655426
322	0.3957718512
323	0.3956485912
324	0.3956190414
325	0.3955511866
326	0.3954893587
327	0.3953455332
328	0.3952559071
329	0.395110964
330	0.3950206522
331	0.3949712222
332	0.3947879864
333	0.39469657
334	0.3946057946
335	0.394526209
336	0.3944385345
337	0.394305739
338	0.3942213707
339	0.3941973847
340	0.3941220732
341	0.3940666534
342	0.3940046259
343	0.3939141261
344	0.3938152704
345	0.3937176299
346	0.393658368
347	0.3935979764
348	0.393479707
349	0.3933124781
350	0.3932391653
351	0.3931518352
352	0.3929287498
353	0.3928413221
354	0.3926549246
355	0.3925600098
356	0.3924521069
357	0.3923707802
358	0.3922517993
359	0.3921870879
360	0.3921057553
361	0.3919056586
362	0.3918301377
363	0.3917757366
364	0.391676457
365	0.3916184979
366	0.3915217432
367	0.3913551982
368	0.3912858136
369	0.3912328171
370	0.3911504159
371	0.3909913396
372	0.3909247203
373	0.3908398455
374	0.3907240101
375	0.3905585283
376	0.3904998003
377	0.3904452188
378	0.3903215547
379	0.3902440775
380	0.3901614459
381	0.3900850772
382	0.3900295477
383	0.3899690474
384	0.3898667166
385	0.3897961907
386	0.3897318762
387	0.3896532911
388	0.3895152168
389	0.3894475962
390	0.3893822115
391	0.3892728567
392	0.3892309239
393	0.3891696143
394	0.3889913298
395	0.3888881951
396	0.3888064119
397	0.3887094276
398	0.3886618785
399	0.3885114846
400	0.3884304255
401	0.388336942
402	0.388261732
403	0.3880246646
404	0.3879655714
405	0.3878367727
406	0.38774501
407	0.3876910172
408	0.3876042015
409	0.387419156
410	0.3873372008
411	0.3872825414
412	0.3871775044
413	0.3869394594
414	0.3868620729
415	0.3867717095
416	0.3866497226
417	0.3864964363
418	0.3864047397
419	0.386122743
420	0.3860614054
421	0.3858162578
422	0.3856278381
423	0.3855650116
424	0.3854589242
425	0.3852876072
426	0.3851321025
427	0.3850671514
428	0.3849970932
429	0.3849466526
430	0.384875705
431	0.3847670208
432	0.3846232478
433	0.3844651567
434	0.384374895
435	0.3842649119
436	0.3842039454
437	0.3841254559
438	0.3840136004
439	0.3839303307
440	0.3838548354
441	0.3837600773
442	0.383700173
443	0.3836408858
444	0.3835548341
445	0.3834894804
446	0.38335827
447	0.3832109097
448	0.3831383927
449	0.3830629858
450	0.382893757
451	0.382776434
452	0.3826647627
453	0.3824606434
454	0.382407278
455	0.382341996
456	0.382282288
457	0.382199645
458	0.3821519544
459	0.3820807247
460	0.3819431418
461	0.3817930627
462	0.3817309387
463	0.3816901766
464	0.3816078878
465	0.3815279158
466	0.3814220343
467	0.3813259661
468	0.3812788115
469	0.3811786812
470	0.3810895605
471	0.3808600867
472	0.3807748766
473	0.380650797
474	0.3805794025
